EANL_Tipo_impianto,Cat_Tariffa,Nuclei_domestici,Nuclei_commerciali,Nuclei_non_residenti,Condominio,Componenti,Località,ProccessedVia,ProcessedAddress,Consumo_medio_2020,Consumo_medio_2021,Consumo_medio_2022,Consumo_medio_2023,Consumo_medio_2024
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3363,6.34,6.34,3.15,3.86,7.6
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD202,0.78,0.78,3.79,7.65,3.53
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD203B,1.87,1.87,1.38,6.75,4.07
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3378A,0.46,0.46,0.45,0.58,0.0
1001,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD204,8.43,8.43,4.08,8.34,11.92
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD204,0.0,0.0,2.04,2.67,4.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3660,8.08,8.08,0.1,4.76,0.2
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD203,8.43,8.43,4.41,7.42,7.46
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD204B,9.29,9.29,4.85,4.5,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4133,1.1,1.1,6.0,1.89,1.89
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD204B,3.52,3.52,2.26,5.17,5.42
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2752A,44.04,44.04,10.93,15.76,5.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD205F,0.0,0.0,3.79,3.79,3.79
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3371,7.35,7.35,9.41,16.11,34.57
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD871,99999.0,99999.0,0.65,2.18,4.24
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3673,9.18,9.18,0.46,1.59,5.27
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD873,8.26,8.26,5.62,0.58,0.93
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD873,1.19,1.19,0.39,0.58,0.42
,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD873,0.85,0.85,0.66,1.08,1.27
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3673,15.38,15.38,13.57,0.0,10.82
1001,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD873,10.08,10.08,0.0,5.84,9.24
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD877,3.07,3.07,0.61,0.0,0.21
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD877,4.52,4.52,0.14,0.0,3.68
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD879,0.34,0.34,0.39,0.0,0.51
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CN,CN1018,69.91,69.91,24.32,24.51,45.05
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD880,1.28,1.28,8.16,0.25,0.93
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4146,3.31,3.31,12.05,10.68,0.17
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD881C,16.53,16.53,0.0,2.05,2.03
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD881C,6.48,6.48,7.93,0.0,0.85
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4146,4.57,4.57,4.41,4.89,5.88
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD882B,8.94,8.94,7.89,7.89,8.74
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD882C,99999.0,1.11,0.34,0.34,0.19
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD882D,17.01,17.01,15.26,13.67,13.47
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4146,9.38,9.38,4.98,5.87,13.11
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS5064A,8.52,8.52,8.24,8.96,7.65
1200,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD892,1.16,1.16,0.83,0.63,2.88
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD892,8.51,8.51,5.9,7.75,1.53
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,GD,GD894,3.01,3.01,0.0,0.0,4.19
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3682B,22.81,22.81,11.42,12.65,18.36
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2697,2.6,2.6,2.31,4.96,5.89
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3685,4.67,4.67,3.64,8.12,8.12
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3688,5.17,5.17,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3013,0.54,0.54,0.4,1.1,0.72
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS5064B,0.7,0.7,0.51,0.49,1.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3688,2.19,2.19,1.94,5.88,3.93
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2706,5.48,5.48,4.68,0.93,5.03
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3688,7.37,7.37,2.32,0.0,2.82
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2706,19.45,19.45,24.57,11.58,32.21
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2706,4.94,4.94,5.3,0.93,6.13
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3690,18.34,18.34,11.11,0.0,17.12
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2706,3.47,3.47,1.12,0.99,0.56
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS4165,0.47,0.47,7.29,2.54,0.32
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3385O,7.08,7.08,1.07,1.81,0.83
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3690,0.0,0.0,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3022,6.61,6.61,6.15,0.13,0.8
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2783,19.84,19.84,1.16,8.13,8.49
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2784,10.05,10.05,99999.0,8.53,7.96
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3026,4.82,4.82,3.89,4.06,4.17
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3693,0.31,0.31,0.0,0.0,0.08
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS2708,2.24,2.24,0.9,0.0,4.66
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS3385M,0.37,0.37,0.0,0.33,0.5
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS944,0.08,0.08,0.0,0.0,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS946A,0.7,0.7,0.7,1.98,2.01
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS946A,5.06,5.06,5.06,5.06,0.0
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS947,3.24,3.24,9.95,9.35,10.9
1200,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS948,7.17,7.17,5.47,0.43,0.08
12NR,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS948,0.8,0.8,0.32,1.21,0.47
1001,Uso domestico non residente,1.0,,,,,VENEZIA,CS,CS952,12.02,12.02,10.93,9.61,10.54
