TARGET_FID_12_13,Full_sesti,Codice_1
346,CN1347,LEON
348,CN1322,LEON
349,CN1052,LEON
351,CN513,GERE
354,CN960,LEON
359,CN389,GERE
361,CN388,GERE
363,CN440D,GERE
363,CN440E,GERE
363,CN393,GERE
363,CN440A,GERE
364,CN353,GERE
366,CN366B,GERE
366,CN366A,GERE
366,CN363,GERE
370,CN158A,GERE
370,CN158,GERE
371,CN157,GERE
371,CN155B,GERE
372,CN152,GERE
372,CN154,GERE
372,CN151,GERE
372,CN148,GERE
373,CN159,GERE
373,CN160,GERE
373,CN160A,GERE
376,CN168,GERE
380,CN215,GERE
380,CN214,GERE
381,CN203,GERE
382,CN202,GERE
382,CN188,GERE
382,CN187,GERE
383,CN217A,GERE
383,CN218,GERE
383,CN220,GERE
383,CN219,GERE
383,CN219A,GERE
383,CN217,GERE
384,CN222,GERE
384,CN221A,GERE
384,CN224,GERE
384,CN223,GERE
384,CN221,GERE
384,CN220A,GERE
385,CN226,GERE
385,CN225A,GERE
385,CN227,GERE
387,CN259,GERE
387,CN258A,GERE
388,CN228,GERE
388,CN229,GERE
389,CN231,GERE
389,CN230,GERE
389,CN230A,GERE
390,CN258,GERE
390,CN232,GERE
390,CN257,GERE
391,CN298,GERE
391,CN300,GERE
391,CN299,GERE
392,CN295,GERE
392,CN294,GERE
393,CN293,GERE
393,CN289,GERE
394,CN292,GERE
394,CN290,GERE
394,CN290A,GERE
394,CN291,GERE
395,CN287,GERE
395,CN286,GERE
396,CN264,GERE
397,CN279,GERE
397,CN281,GERE
397,CN280,GERE
398,CN283,GERE
398,CN285,GERE
398,CN283A,GERE
398,CN282,GERE
398,CN282A,GERE
398,CN282B,GERE
398,CN284,GERE
399,CN304,GERE
400,CN312,GERE
400,CN313,GERE
401,CN314,GERE
401,CN336,GERE
401,CN321,GERE
401,CN317,GERE
401,CN316,GERE
401,CN337,GERE
401,CN315,GERE
401,CN318,GERE
401,CN320,GERE
401,CN339,GERE
401,CN338,GERE
401,CN319,GERE
402,CN326B,GERE
402,CN326,GERE
402,CN326C,GERE
402,CN326A,GERE
402,CN327A,GERE
402,CN327,GERE
