TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
14668,1,79842,SP496,SILV
14668,1,79843,SP497,SILV
14668,1,79844,SP498,SILV
14668,1,79845,SP499,SILV
14668,1,80198,SP501,SILV
14668,1,80199,SP491,SILV
14668,1,38683,SP36,SILV
14668,1,38685,SP37,SILV
14668,1,38687,SP38,SILV
14668,1,38723,SP47,SILV
14668,1,80464,SP492,SILV
14668,1,79381,SP60A,SILV
14668,1,79383,SP61A,SILV
14668,1,79836,SP517,SILV
14668,1,79840,SP494,SILV
14668,1,79841,SP495,SILV
14668,1,79850,SP511,SILV
14668,1,79833,SP514,SILV
14668,1,79834,SP515,SILV
14668,1,79835,SP516,SILV
14668,1,79846,SP500,SILV
14668,1,79847,SP505,SILV
14668,1,79848,SP506,SILV
14668,1,79849,SP508,SILV
14668,1,38689,SP56,SILV
14668,1,38691,SP55,SILV
14668,1,38693,SP54,SILV
14668,1,38695,SP53,SILV
14668,1,38664,SP33,SILV
14668,1,38662,SP32,SILV
14668,1,38660,SP31,SILV
14668,1,38658,SP63,SILV
14668,1,73605,SP507,SILV
14668,1,38573,SP76,SILV
14668,1,38575,SP75,SILV
14668,1,38577,SP74,SILV
14668,1,38666,SP34,SILV
14668,1,38668,SP35,SILV
14668,1,38619,SP22,SILV
14668,1,38621,SP23,SILV
14668,1,38623,SP73,SILV
14668,1,38625,SP72,SILV
14668,1,38627,SP24,SILV
14668,1,72741,SP493,SILV
14668,1,72742,SP505A,SILV
14668,1,38629,SP71A,SILV
14668,1,72909,SP474,SILV
14668,1,38617,SP21,SILV
14668,1,38646,SP27,SILV
14668,1,38640,SP67,SILV
14668,1,38642,SP66,SILV
14668,1,38631,SP25,SILV
14668,1,38634,SP70,SILV
14668,1,38632,SP71,SILV
14668,1,38636,SP69,SILV
14668,1,38638,SP68,SILV
14668,1,38652,SP30,SILV
14668,1,38650,SP29,SILV
14668,1,38654,SP65,SILV
14668,1,38644,SP26,SILV
14668,1,38589,SP59A,SILV
14668,1,38587,SP56A,SILV
14668,1,38585,SP490B,SILV
14668,1,38656,SP64,SILV
14668,1,38546,SP521,SILV
14668,1,38581,SP504,SILV
14668,1,76571,SP72A,SILV
14668,1,73603,SP522,SILV
14668,1,38540,SP517A,SILV
14668,1,38541,SP518,SILV
14668,1,38543,SP503,SILV
14668,1,38544,SP520,SILV
14668,1,83876,SP16,SILV
