short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
LEON-363,Bg,11.18,122.76,"CN1519, CN1520",4
LEON-364,fa,14.55,47.82,none,5
LEON-365,A,13.57,180.71,"CN1521, CN1522, CN1523, CN1523A, CN1523C, CN1524",5
LEON-366,A,0.0,88.42,"CN1528A, CN1529",1
LEON-367,A,0.0,52.31,"CN1527A, CN1528",1
LEON-368,A,14.4,64.87,CN1527,5
LEON-369,fa,10.67,76.79,"CN1525, CN1526",4
LEON-370,Nr,15.77,254.76,"CN1534, CN1535, CN1535A",6
LEON-371,C,14.9,333.7,CN1548,5
LEON-372,C,13.4,233.73,none,5
LEON-373,Nr,6.07,56.09,CN1546,3
LEON-374,Ne,8.68,126.31,"CN1536, CN1536A",3
LEON-375,Nr,13.03,211.32,"CN1551, CN1552A",5
LEON-376,C,11.19,153.28,"CN1537, CN1538, CN1539",4
LEON-377,C,0.0,95.86,"CN1543, CN1544",1
LEON-378,C,0.0,100.29,"CN1540, CN1541, CN1542, CN1542A",1
LEON-379,C,11.47,181.72,none,4
LEON-380,Bg,13.56,116.36,"CN1555, CN1556",5
LEON-381,B,14.45,188.12,"CN1566C, CN1566D",5
LEON-382,Bg,7.1,50.04,CN1566E,3
LEON-383,Bg,11.0,88.77,"CN1557, CN1557A, CN1565",4
LEON-384,A,11.02,117.7,"CN1558, CN1558A, CN1563, CN1563A, CN1564",4
LEON-385,A,0.0,18.74,none,1
LEON-386,A,0.0,25.16,CN1562,1
LEON-387,A,9.63,26.74,CN1561,4
LEON-388,A,0.0,27.78,CN1560A,1
LEON-389,A1,0.0,19.14,CN1560,1
LEON-390,A1,9.9,35.3,CN1559,4
LEON-391,A1,0.0,37.73,"CN1567, CN1568",1
LEON-392,fa,15.0,484.47,"CN1574, CN1575",5
LEON-393,A1,0.0,38.85,CN1569,1
LEON-394,A1,0.0,24.02,none,1
LEON-395,A1,9.9,77.24,"CN1571, CN1572",4
LEON-396,Or,14.4,252.65,"CN1573, CN1573A, CN1573B",5
LEON-397,SU,13.11,383.29,CN1584,5
LEON-398,B,9.22,56.75,CN1585,4
LEON-399,A1,8.7,43.37,"CN1586, CN1586A",3
LEON-400,B1,11.46,85.81,"CN1587, CN1588, CN1589, CN1590",4
LEON-401,D,7.4,175.62,"CN1579, CN1580, CN1580A, CN1580B",3
LEON-402,A,11.64,123.73,"CN1577, CN1631A",4
LEON-403,A,0.0,33.25,"CN1578, CN1629, CN1630",1
LEON-404,SU,7.32,101.47,none,3
LEON-405,B,10.54,67.29,"CN1627, CN1628",4
LEON-406,D,13.7,154.78,"CN1581, CN1582",5
LEON-407,Knt,4.56,54.37,none,2
LEON-408,Nr,10.37,113.25,"CN1626B, CN1626C",4
LEON-409,fa,9.57,78.53,none,4
LEON-410,fa,9.68,85.93,"CN1591, CN1591A, CN1592, CN1593, CN1594, CN1595",4
LEON-411,Knt,4.13,43.16,none,2
LEON-412,fa,3.75,19.03,none,2
LEON-413,C,10.2,63.33,"CN1607, CN1608",4
LEON-414,A,0.0,104.12,"CN1604, CN1605, CN1606",1
LEON-415,Nr,10.33,156.49,"CN1626, CN1626A",4
LEON-416,Ne,13.57,139.89,none,5
LEON-417,Bg,0.0,32.88,CN1603A,1
LEON-418,Bg,0.0,60.0,"CN1602, CN1603",1
LEON-419,Bg,10.45,63.85,"CN1600, CN1601",4
LEON-420,B,0.0,35.73,"CN1598, CN1599",1
LEON-421,B,12.78,69.84,"CN1596, CN1597",5
LEON-422,Bg,0.0,56.01,"CN1609, CN1610, CN1624, CN1625",1
LEON-423,Bg,9999.0,25553.27,"CN1611, CN1612, CN1622, CN1623",3333
LEON-424,pt,9999.0,25548.01,CN1612A,3333
LEON-425,pt,9999.0,25461.89,"CN1613, CN1614",3333
LEON-426,Nr,11.67,544.67,"CN2976, CN2976A, CN2976B, CN2976C",4
LEON-427,Nr,0.0,774.7,"CN2980, CN2980A, CN2980B, CN2980C, CN2980D",1
LEON-428,Nr,9999.0,20605.41,"CN2978, CN2978A, CN2978B",3333
LEON-429,Nd,9.85,16.31,none,4
LEON-430,B1,9.7,313.1,"CN1813, CN1814, CN1814A, CN1814B, CN1814C, CN1815, CN1815A, CN1815B, CN1815C, CN1815D, CN1815E",4
LEON-431,B1,12.0,166.42,"CN1812, CN1812C, CN1812F",4
LEON-432,B1,7.52,137.4,"CN1816, CN1817, CN1818, CN1818A, CN1819, CN1819A",3
LEON-433,B1,10.21,103.13,"CN1812A, CN1812B, CN1812D, CN1812E",4
LEON-434,D,13.96,215.08,"CN1782, CN1783, CN1783A",5
LEON-435,B,10.0,77.83,"CN1779, CN1791",4
LEON-436,A1,0.0,72.21,"CN1779B, CN1787, CN1788, CN1789",1
LEON-437,A1,0.0,74.09,"CN1779A, CN1785, CN1786",1
LEON-438,A1,6.76,70.61,"CN1780, CN1781, CN1784",3
LEON-439,pt,9999.0,25799.73,"CN1635, CN1636",3333
LEON-440,pt,9999.0,25966.07,"CN1634, CN1634A, CN1661, CN1661A, CN1662, CN1663, CN1664",3333
LEON-441,Ne,9999.0,25627.47,"CN1637, CN1638",3333
LEON-442,A1,6.77,37.08,none,3
LEON-443,A1,0.0,47.93,CN1638B,1
LEON-444,pt,9.68,30.65,CN1661B,4
LEON-445,pt,10.22,38.55,none,4
LEON-446,fa,12.77,133.17,none,5
LEON-447,Bg,10.96,46.52,"CN1640, CN1641",4
LEON-448,Bg,7.74,52.64,"CN1654, CN1655",3
LEON-449,B,0.0,36.43,CN1653,1
LEON-450,Nr,14.64,200.59,CN1396,5
LEON-451,Nr,4.6,24.04,CN1397A,2
LEON-452,Nd,4.68,67.71,CN1397B,2
LEON-453,B,9.55,51.38,CN1397,4
LEON-454,B1,11.78,108.2,CN1395A,4
LEON-455, ,4.4,14.43,none,2
LEON-456,Nd,3.65,20.45,none,2
